Row,Column,Healthy,ClusterV,ClusterH
10,D,110,7,5
10,C,109,7,5
10,G,109,9,10
10,B,108,6,5
1,G,108,4,6
1,H,108,4,6
10,A,107,6,5
9,F,107,8,10
10,F,107,8,10
10,H,107,9,10
1,I,107,5,6
10,J,107,10,10
1,A,106,1,1
9,A,106,6,5
9,B,106,6,5
1,C,106,2,1
9,D,106,7,5
10,E,106,8,5
9,I,106,10,10
10,I,106,10,10
1,J,106,5,6
9,J,106,10,10
1,D,105,2,1
1,E,105,3,1
1,F,105,3,6
2,J,105,5,6
8,A,104,6,4
1,B,104,1,1
9,C,104,7,5
2,D,104,2,1
7,D,104,7,4
9,G,104,9,10
2,H,104,4,6
8,H,104,9,9
7,I,104,10,9
2,A,103,1,1
7,A,103,6,4
8,B,103,6,4
2,C,103,2,1
8,C,103,7,4
8,D,103,7,4
2,E,103,3,1
2,F,103,3,6
2,G,103,4,6
8,G,103,9,9
9,H,103,9,10
2,I,103,5,6
2,B,102,1,1
7,B,102,6,4
3,C,102,2,2
7,C,102,7,4
8,E,102,8,4
9,E,102,8,5
7,F,102,8,9
8,F,102,8,9
3,G,102,4,7
7,G,102,9,9
7,H,102,9,9
3,I,102,5,7
8,I,102,10,9
7,J,102,10,9
8,J,102,10,9
3,A,101,1,2
3,D,101,2,2
7,E,101,8,4
3,H,101,4,7
4,H,101,4,7
3,J,101,5,7
4,J,101,5,7
5,B,100,1,3
5,C,100,2,3
5,D,100,2,3
3,E,100,3,2
4,E,100,3,2
3,F,100,3,7
5,I,100,5,8
3,B,99,1,2
4,B,99,1,2
4,C,99,2,2
4,D,99,2,2
5,E,99,3,3
6,E,99,8,3
4,F,99,3,7
5,F,99,3,8
6,F,99,8,8
5,G,99,4,8
6,G,99,9,8
6,H,99,9,8
4,I,99,5,7
4,A,98,1,2
5,A,98,1,3
6,B,98,6,3
6,C,98,7,3
6,D,98,7,3
4,G,98,4,7
5,H,98,4,8
5,J,98,5,8
6,J,98,10,8
6,A,97,6,3
6,I,97,10,8
